iter	Logloss
0	0.6778169289
1	0.6615960518
2	0.6462755467
3	0.6330719
4	0.619349832
5	0.6060465189
6	0.5929556072
7	0.5855164337
8	0.5758497838
9	0.5685864753
10	0.5588925902
11	0.5493842138
12	0.5427348719
13	0.5356668807
14	0.5284443916
15	0.5228392627
16	0.5171690563
17	0.5114099155
18	0.506670374
19	0.5024857368
20	0.4977437776
21	0.4950108976
22	0.4908059385
23	0.4867950903
24	0.4826421792
25	0.4800672315
26	0.4758550758
27	0.4720686866
28	0.4683914155
29	0.4657750115
30	0.4624681007
31	0.4612079249
32	0.4576818486
33	0.4548783795
34	0.4525866026
35	0.4492724969
36	0.4465719883
37	0.4439573509
38	0.442759577
39	0.440545193
40	0.4386090342
41	0.4363627101
42	0.4339944681
43	0.4309362676
44	0.4295197188
45	0.42723549
46	0.425280588
47	0.4238366666
48	0.4223818303
49	0.4207567193
50	0.418892566
51	0.4165499819
52	0.4158596235
53	0.4143418001
54	0.4132195934
55	0.4120866332
56	0.4108616035
57	0.4097084291
58	0.4088810286
59	0.4081164343
60	0.4075815075
61	0.4067671672
62	0.4063378598
63	0.4056628666
64	0.4041098741
65	0.4030639968
66	0.4023097795
67	0.4011176253
68	0.4000046419
69	0.3990959529
70	0.3981959115
71	0.3965174611
72	0.3954080658
73	0.3948506887
74	0.394246528
75	0.3928249138
76	0.3920520813
77	0.3913392546
78	0.3908120984
79	0.3902040265
80	0.3892425921
81	0.3886685232
82	0.3877875645
83	0.3862054206
84	0.3852972938
85	0.3846051808
86	0.3840341508
87	0.3839478364
88	0.3831210423
89	0.382018274
90	0.3814979747
91	0.3812858115
92	0.3806390346
93	0.3799319866
94	0.3793136382
95	0.3788966478
96	0.3783547456
97	0.3779391254
98	0.3771356835
99	0.3767276837
100	0.3764155558
101	0.3755463824
102	0.3753683453
103	0.3750280268
104	0.3737943292
105	0.3730752409
106	0.3717114426
107	0.370871928
108	0.3699486297
109	0.3690830253
110	0.3684550181
111	0.3683068852
112	0.3681323956
113	0.3672127308
114	0.3667992422
115	0.365728873
116	0.3647455481
117	0.3637431118
118	0.3635502673
119	0.3632400344
120	0.3630408648
121	0.3628911601
122	0.362493802
123	0.3621905559
