iter	Passed	Remaining
0	48	58651
1	50	30141
2	51	20716
3	53	16032
4	54	13142
5	56	11204
6	57	9856
7	59	8854
8	60	8043
9	62	7407
10	63	6882
11	64	6425
12	66	6043
13	67	5726
14	68	5445
15	70	5198
16	71	4981
17	72	4790
18	74	4629
19	75	4474
20	77	4329
21	78	4209
22	80	4106
23	81	3993
24	82	3897
25	84	3805
26	85	3725
27	87	3646
28	88	3572
29	89	3497
30	91	3432
31	92	3378
32	93	3321
33	95	3264
34	96	3212
35	97	3160
36	98	3111
37	100	3068
38	102	3053
39	104	3032
40	106	3001
41	107	2964
42	108	2928
43	110	2892
44	111	2857
45	112	2824
46	114	2801
47	115	2773
48	117	2751
49	118	2728
50	119	2700
51	121	2675
52	122	2651
53	123	2628
54	125	2608
55	126	2584
56	128	2568
57	129	2546
58	130	2526
59	131	2507
60	133	2497
61	135	2480
62	136	2466
63	138	2451
64	139	2433
65	140	2417
66	141	2400
67	143	2387
68	144	2369
69	146	2358
70	147	2343
71	148	2328
72	150	2323
73	151	2312
74	153	2300
75	154	2291
76	156	2277
77	157	2268
78	159	2257
79	160	2243
80	161	2234
81	163	2222
82	164	2211
83	165	2199
84	167	2192
85	168	2184
86	169	2174
87	170	2158
88	171	2146
89	173	2135
90	174	2126
91	175	2116
92	176	2106
93	178	2098
94	179	2091
95	181	2082
96	182	2074
97	183	2067
98	185	2060
99	186	2051
100	187	2042
101	188	2032
102	190	2025
103	191	2018
104	193	2013
105	194	2007
106	195	1999
107	196	1991
108	198	1983
109	199	1976
110	200	1970
111	202	1963
112	203	1955
113	204	1950
114	205	1943
115	207	1935
116	208	1929
117	209	1923
118	211	1917
119	212	1910
120	214	1910
121	215	1903
122	216	1899
123	218	1894
